GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
thehangman-report/thehangman-engine-module,engine,InputController,0,48,0,6,0,13,0,7,0,4
thehangman-report/thehangman-engine-module,engine,MainExecutive,0,41,0,4,0,11,0,5,0,3
thehangman-report/thehangman-engine-module,engine,MainBehaviour,0,84,0,8,0,25,0,10,0,6
thehangman-report/thehangman-engine-module,engine,StringManager,0,68,0,6,0,15,0,8,0,5
thehangman-report/thehangman-exceptions-module,exceptions,AlreadyTypedException,0,4,0,0,0,2,0,1,0,1
thehangman-report/thehangman-exceptions-module,exceptions,CharAbsenceException,0,4,0,0,0,2,0,1,0,1
thehangman-report/thehangman-exceptions-module,exceptions,IllegalCharException,0,4,0,0,0,2,0,1,0,1
thehangman-report/thehangman-exceptions-module,exceptions,NotAlphabeticCharException,0,4,0,0,0,2,0,1,0,1
thehangman-report/thehangman-repository-module,repository,ConfigurationBuilder,0,62,0,0,0,14,0,6,0,6
thehangman-report/thehangman-repository-module,repository,WordMySQLRepository,0,56,0,2,0,15,0,4,0,3
thehangman-report/thehangman-ui-module,ui,TerminalUI,0,145,0,6,0,39,0,14,0,11
thehangman-report/thehangman-ui-module,ui,GraphicalUI.new KeyAdapter() {...},0,21,0,2,0,3,0,3,0,2
thehangman-report/thehangman-ui-module,ui,GraphicalUI,0,992,0,10,0,143,0,22,0,17
